Local time in Surabaya,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
19.04.2022 16:00,27.8,755.8,756.1,0.2,80,Wind blowing from the south,3,,,100%.,"Precipitation within sight, not reaching the ground or the surface of the sea. ",Thunderstorm(s) with or without precipitation.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",60%.,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,10.0,24.0,,,,,,
19.04.2022 13:00,28.2,755.6,755.9,-1.4,77,Wind blowing from the north-northwest,7,,,100%.,"Thunderstorm, but no precipitation at the time of observation. ",Thunderstorm(s) with or without precipitation.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",70 – 80%.,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",10.0,23.8,,,,,,
19.04.2022 10:00,31.6,757.0,757.3,0.5,70,Wind blowing from the north-east,3,,,70 – 80%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",11.0,25.5,,,,,,
19.04.2022 07:00,27.4,756.5,756.8,0.7,82,"Calm, no wind",0,,,"90  or more, but not 100%", ,,,26.0,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",9.0,24.1,,,,,,
19.04.2022 04:00,26.8,755.8,756.1,-0.3,93,"Calm, no wind",0,,,70 – 80%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,25.5,,,,,,
19.04.2022 01:00,28.0,756.1,756.4,-0.9,85,"Calm, no wind",0,,,70 – 80%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,25.3,,,,,,
18.04.2022 22:00,28.4,757.0,757.4,0.9,81,"Calm, no wind",0,,,60%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,24.9,,,,,,
18.04.2022 19:00,28.2,756.1,756.4,1.1,83,Wind blowing from the north-east,2,,,70 – 80%., ,,,,31.4,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,25.0,,,,,,
18.04.2022 16:00,30.0,755.0,755.4,-0.2,74,Wind blowing from the east,3,,,"90  or more, but not 100%", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,24.9,,,,,,
18.04.2022 13:00,31.1,755.2,755.6,-1.5,73,Wind blowing from the north,3,,,70 – 80%.,Thunderstorm (with or without precipitation). ,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",50%.,300-600,Altostratus opacus or Nimbostratus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",12.0,25.6,,,,,,
18.04.2022 10:00,29.8,756.7,757.0,0.5,76,Wind blowing from the south-southeast,4,,,"90  or more, but not 100%", ,,,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",40%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,25.1,,,,,,
18.04.2022 07:00,26.4,756.2,756.5,0.6,88,Wind blowing from the south,3,,,70 – 80%., ,,,26.4,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",50%.,300-600,Altostratus opacus or Nimbostratus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,24.2,,,,,,
18.04.2022 04:00,27.8,755.6,755.9,-0.4,88,"Calm, no wind",0,,,50%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,25.7,,,,,,
18.04.2022 01:00,28.6,756.0,756.3,-0.4,84,"Calm, no wind",0,,,20–30%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",8.0,25.7,,,,,,
17.04.2022 22:00,29.0,756.4,756.7,1.0,83,"Calm, no wind",0,,,50%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",9.0,25.8,,,,,,
17.04.2022 19:00,29.3,755.4,755.7,1.4,81,Wind blowing from the north-east,2,,,"10%  or less, but not 0", ,,,,34.6,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",9.0,25.8,,,,,,
17.04.2022 16:00,31.0,754.0,754.3,-0.8,70,"Calm, no wind",0,,,"90  or more, but not 100%", ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,24.8,,,,,,
17.04.2022 13:00,34.0,754.8,755.1,-1.9,53,Wind blowing from the east-southeast,2,,,70 – 80%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",12.0,23.1,,,,,,
17.04.2022 10:00,31.8,756.7,757.0,0.8,65,Wind blowing from the east,3,,,60%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",12.0,24.5,,,,,,
17.04.2022 07:00,27.0,755.9,756.3,0.7,81,Wind blowing from the east-southeast,2,,,"10%  or less, but not 0", ,,,25.6,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.",Altostratus translucidus.,"No Cirrus, Cirrocumulus or Cirrostratus.",10.0,23.4,,,,,,
17.04.2022 04:00,26.0,755.2,755.6,-0.4,88,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.",Altostratus translucidus.,"No Cirrus, Cirrocumulus or Cirrostratus.",9.0,23.9,,,,,,
17.04.2022 01:00,27.3,755.6,756.0,-1.0,85,"Calm, no wind",0,,,20–30%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,"2500 or more, or no clouds.",Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,24.6,,,,,,
16.04.2022 22:00,28.2,756.6,756.9,1.2,79,"Calm, no wind",0,,,20–30%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",9.0,24.3,,,,,,
16.04.2022 19:00,29.5,755.4,755.8,0.6,78,Wind blowing from the east,2,,,"90  or more, but not 100%", ,,,,34.2,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",9.0,25.2,,,,,,
16.04.2022 16:00,30.9,754.8,755.1,-0.1,71,Wind blowing from the south,2,,,100%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",11.0,25.1,,,,,,
16.04.2022 13:00,34.0,754.9,755.2,-2.2,59,Wind blowing from the north-northwest,3,,,60%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",11.0,24.8,,,,,,
16.04.2022 10:00,31.8,757.1,757.5,0.9,69,Wind blowing from the north,2,,,"10%  or less, but not 0", ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",11.0,25.4,,,,,,
16.04.2022 07:00,27.2,756.2,756.5,0.7,87,"Calm, no wind",0,,,20–30%., ,,,25.8,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,24.8,,,,,,
16.04.2022 04:00,27.0,755.5,755.9,-0.6,85,"Calm, no wind",0,,,60%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",9.0,24.3,,,,,,
16.04.2022 01:00,28.6,756.1,756.5,,84,"Calm, no wind",0,,,60%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",9.0,25.7,,,,,,
15.04.2022 19:00,30.2,755.7,756.0,1.5,74,Wind blowing from the east-northeast,2,,,70 – 80%., ,,,,34.6,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",9.0,25.1,,,,,,
15.04.2022 16:00,31.4,754.2,754.5,-1.1,65,Wind blowing from the east,3,,,70 – 80%., ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",11.0,24.1,,,,,,
15.04.2022 13:00,34.3,755.3,755.7,-1.8,54,"Calm, no wind",0,,,20–30%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",12.0,23.7,,,,,,
15.04.2022 10:00,32.8,757.1,757.4,0.1,61,Wind blowing from the east,2,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",12.0,24.3,,,,,,
15.04.2022 07:00,26.9,757.0,757.3,1.2,74,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,25.6,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,21.8,,,,,,
15.04.2022 04:00,26.0,755.8,756.2,-0.4,79,"Calm, no wind",0,,,20–30%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",9.0,22.1,,,,,,
15.04.2022 01:00,27.8,756.2,756.5,-0.5,80,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",9.0,24.0,,,,,,
14.04.2022 22:00,29.0,756.7,757.0,1.2,72,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",9.0,23.5,,,,,,
14.04.2022 19:00,31.0,755.5,755.8,1.5,58,Wind blowing from the east,2,,,"10%  or less, but not 0", ,,,,34.8,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,21.8,,,,,,
14.04.2022 16:00,32.8,754.0,754.3,-0.9,59,Wind blowing from the north-northwest,3,,,40%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,23.9,,,,,,
14.04.2022 13:00,34.0,754.9,755.3,-2.2,50,Wind blowing from the east-northeast,3,,,"10%  or less, but not 0", ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",12.0,22.1,,,,,,
14.04.2022 10:00,32.0,757.1,757.4,0.4,60,Wind blowing from the south-east,2,,,20–30%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,Altostratus translucidus.,"No Cirrus, Cirrocumulus or Cirrostratus.",11.0,23.4,,,,,,
14.04.2022 07:00,26.9,756.7,757.0,0.9,84,"Calm, no wind",0,,,40%.,Clouds generally dissolving or becoming less developed. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,26.0,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",9.0,24.0,,,,,,
14.04.2022 04:00,26.6,755.8,756.0,-0.1,86,Wind blowing from the south-southwest,2,,,60%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,Altostratus opacus or Nimbostratus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,24.1,,,,,,
14.04.2022 01:00,28.2,755.9,756.2,-0.9,81,"Calm, no wind",0,,,60%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,24.7,,,,,,
13.04.2022 22:00,28.6,756.8,757.1,1.3,78,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",9.0,24.4,,,,,,
13.04.2022 19:00,28.9,755.5,755.8,1.5,73,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,,33.8,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",9.0,23.6,,,,,,
13.04.2022 16:00,31.4,754.0,754.3,-0.8,67,Wind blowing from the north-northwest,3,,,60%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,24.5,,,,,,
13.04.2022 13:00,33.4,754.8,755.1,-2.1,53,Wind blowing from the east,5,,,40%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",11.0,22.7,,,,,,
13.04.2022 10:00,31.6,756.9,757.2,0.2,65,Wind blowing from the east-northeast,2,,,100%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.",Cirrostratus covering the whole sky.,11.0,24.3,,,,,,
13.04.2022 07:00,26.6,756.7,757.0,1.2,81,"Calm, no wind",0,,,60%., ,,,25.8,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",11.0,23.0,,,,,,
13.04.2022 04:00,26.5,755.5,755.8,-0.7,87,"Calm, no wind",0,,,70 – 80%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",70 – 80%.,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",8.0,24.2,,,,,,
13.04.2022 01:00,28.5,756.2,756.5,0.1,71,"Calm, no wind",0,,,50%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",50%.,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",8.0,22.7,,,,,,
12.04.2022 22:00,29.0,756.1,757.0,0.9,78,"Calm, no wind",0,,,70 – 80%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",70 – 80%.,"2500 or more, or no clouds.","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,24.7,,,,,,
12.04.2022 19:00,29.6,755.2,755.5,1.2,74,Wind blowing from the north-northeast,2,,,no clouds, ,,,,34.1,,,,,,8.0,24.5,,,,,,
12.04.2022 16:00,31.9,754.0,754.3,-1.0,59,"Calm, no wind",0,,,40%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",12.0,23.0,,,,,,
12.04.2022 13:00,29.6,755.0,755.3,-1.8,65,Wind blowing from the west-northwest,1,,,70 – 80%., ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",11.0,22.4,,,,,,
12.04.2022 10:00,31.4,756.8,757.2,-0.1,69,Wind blowing from the north-northwest,2,,,20–30%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",11.0,25.0,,,,,,
12.04.2022 07:00,26.4,756.9,757.3,1.0,85,"Calm, no wind",0,,,no clouds, ,,,25.4,,,,,,,10.0,23.6,,,,,,
12.04.2022 04:00,26.3,755.9,756.2,-0.5,89,"Calm, no wind",0,,,"10%  or less, but not 0",Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.",Altostratus translucidus.,"No Cirrus, Cirrocumulus or Cirrostratus.",7.0,24.3,,,,,,
12.04.2022 01:00,28.7,756.4,756.7,-0.9,78,"Calm, no wind",0,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",9.0,24.5,,,,,,
11.04.2022 22:00,29.3,757.3,757.6,1.3,79,Wind blowing from the north-east,2,,,70 – 80%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",9.0,25.3,,,,,,
11.04.2022 19:00,30.1,756.0,756.3,1.8,73,"Calm, no wind",0,,,60%., ,,,,34.7,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",9.0,24.8,,,,,,
11.04.2022 16:00,32.8,754.2,754.6,-1.6,48,Wind blowing from the east-southeast,1,,,20–30%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",11.0,20.5,,,,,,
11.04.2022 13:00,33.6,755.8,756.1,-1.5,54,Wind blowing from the east,3,,,40%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",12.0,23.2,,,,,,
11.04.2022 10:00,31.6,757.3,757.6,-0.3,68,Wind blowing from the west,1,,,20–30%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",11.0,24.9,,,,,,
11.04.2022 07:00,26.6,757.6,757.9,1.0,86,"Calm, no wind",0,,,60%., ,,,25.6,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,24.1,,,,,,
11.04.2022 04:00,26.2,756.6,757.0,-0.4,86,"Calm, no wind",0,,,70 – 80%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",7.0,23.7,,,,,,
11.04.2022 01:00,26.3,757.0,757.3,-1.0,86,"Calm, no wind",0,,,70 – 80%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",7.0,23.7,,,,,,
10.04.2022 22:00,27.4,758.0,758.3,0.7,80,Wind blowing from the south-southwest,3,,,50%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",600-1000,Altostratus translucidus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,23.6,,,,,,
10.04.2022 19:00,29.4,757.3,757.6,1.9,76,"Calm, no wind",0,,,50%., ,,,,34.4,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",9.0,24.8,,,,,,
10.04.2022 16:00,31.2,755.4,755.7,0.4,68,Wind blowing from the east-northeast,2,,,"90  or more, but not 100%", ,,,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",50%.,600-1000,Altostratus opacus or Nimbostratus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",10.0,24.7,,,,,,
10.04.2022 13:00,34.0,755.0,755.4,-2.6,50,Wind blowing from the south-east,3,,,40%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",12.0,22.1,,,,,,
10.04.2022 10:00,31.0,757.6,757.9,-0.3,70,Wind blowing from the north-northwest,1,,,50%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",11.0,24.8,,,,,,
10.04.2022 07:00,27.2,757.9,758.2,1.6,87,"Calm, no wind",0,,,70 – 80%., ,,,26.0,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",9.0,24.8,3,24,,,,
10.04.2022 04:00,26.6,756.3,756.6,-0.1,88,"Calm, no wind",0,,,50%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,24.4,,,,,,
10.04.2022 01:00,27.6,756.4,756.7,-0.6,87,"Calm, no wind",0,,,40%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,25.2,,,,,,
